74.16129592;modelname;79.9362068;positionY;positionZ;rotationX;rotationY;rotationZ;location;texturename;iscollider;meshname
-16.23125528;0;40.1356492;0;;;;;;;;
-108.3947366;0;72.6447167;0;;;;;;;;
-109.4579171;0;-91.04000443;0;;;;;;;;
36.94646565;0;-43.26008486;0;;;;;;;;
21.05181682;0;50.92410185;0;;;;;;;;
-56.41343497;0;-112.4944026;0;;;;;;;;
16.4100894;0;57.30724838;0;;;;;;;;
-30.3656824;0;-114.3441012;0;;;;;;;;
70.06945359;0;13.27429081;0;;;;;;;;
-31.95759886;0;-63.46770426;0;;;;;;;;
-13.35613837;0;-123.5581084;0;;;;;;;;
54.61446396;0;31.18690289;0;;;;;;;;
-19.27530808;0;-23.94443552;0;;;;;;;;
36.59383258;0;117.3745862;0;;;;;;;;
-115.717617;0;7.658764025;0;;;;;;;;
-36.91603428;0;-107.7914438;0;;;;;;;;
-16.15155923;0;64.61307938;0;;;;;;;;
123.5685189;0;-66.52103128;0;;;;;;;;
79.87841643;0;115.9875404;0;;;;;;;;
25.4140074;0;-117.3651659;0;;;;;;;;
-57.21821914;0;-19.61475142;0;;;;;;;;
60.21493501;0;-10.76877541;0;;;;;;;;
75.22886905;0;37.63725788;0;;;;;;;;
4.905456224;0;56.46422678;0;;;;;;;;
65.5554701;0;8.963614647;0;;;;;;;;
-117.1002527;0;10.23557645;0;;;;;;;;
-15.14741899;0;111.5918825;0;;;;;;;;
-86.45779374;0;-52.09822295;0;;;;;;;;
116.9689092;0;-65.84105673;0;;;;;;;;
80.50393167;0;76.28876138;0;;;;;;;;
93.31794566;0;-33.65245051;0;;;;;;;;
107.583846;0;11.89055819;0;;;;;;;;
2.315051256;0;71.38310719;0;;;;;;;;
-50.22485975;0;49.66098033;0;;;;;;;;
-101.5600426;0;-75.0414491;0;;;;;;;;
20.64544224;0;1.087289626;0;;;;;;;;
90.70513291;0;-53.00262305;0;;;;;;;;
116.7935662;0;32.89149135;0;;;;;;;;
5.473843291;0;20.52397912;0;;;;;;;;
22.75389986;0;42.86956919;0;;;;;;;;
-42.17410742;0;-3.814843871;0;;;;;;;;
75.92329276;0;54.78463383;0;;;;;;;;
28.18711696;0;-30.8275165;0;;;;;;;;
41.5855747;0;-1.515729947;0;;;;;;;;
-6.222895105;0;-26.56877054;0;;;;;;;;
-15.65048013;0;46.35146463;0;;;;;;;;
-35.24632957;0;114.0051777;0;;;;;;;;
103.779829;0;43.53908065;0;;;;;;;;
-23.8179302;0;120.1812913;0;;;;;;;;
21.74482531;0;55.52418371;0;;;;;;;;
99.0468956;0;56.59541722;0;;;;;;;;
-52.83388068;0;-49.27912036;0;;;;;;;;
-38.43668531;0;-51.72754327;0;;;;;;;;
69.35407257;0;28.67863613;0;;;;;;;;
79.27240355;0;91.52564826;0;;;;;;;;
-110.44034;0;-38.48242597;0;;;;;;;;
-61.96574082;0;40.98678711;0;;;;;;;;
-34.67621342;0;-120.4233903;0;;;;;;;;
67.21947552;0;49.64031777;0;;;;;;;;
88.43333925;0;105.5364819;0;;;;;;;;
-65.61379493;0;-13.85137635;0;;;;;;;;
-60.30779634;0;-9.819757053;0;;;;;;;;
45.82919602;0;-23.64774725;0;;;;;;;;
95.81847961;0;64.44097654;0;;;;;;;;
-57.88532236;0;-56.57643901;0;;;;;;;;
65.83012199;0;67.27451405;0;;;;;;;;
21.96552854;0;27.66111621;0;;;;;;;;
-53.14185148;0;55.45030116;0;;;;;;;;
-112.5614635;0;-3.40917621;0;;;;;;;;
-12.5257858;0;-35.58113274;0;;;;;;;;
116.5601052;0;41.02412099;0;;;;;;;;
-115.8901667;0;-28.08498304;0;;;;;;;;
78.05781224;0;118.8417672;0;;;;;;;;
26.09884679;0;95.45284694;0;;;;;;;;
62.09481176;0;17.10467508;0;;;;;;;;
43.12773393;0;-13.13786309;0;;;;;;;;
-61.42697681;0;90.76569013;0;;;;;;;;
87.5407263;0;-54.20533283;0;;;;;;;;
101.5255445;0;24.7867845;0;;;;;;;;
-122.4730521;0;-123.6094629;0;;;;;;;;
102.0662238;0;-42.20808344;0;;;;;;;;
65.26624624;0;-19.26443149;0;;;;;;;;
-10.10086184;0;-113.6344171;0;;;;;;;;
-92.36480373;0;69.49284735;0;;;;;;;;
74.92895984;0;85.33778571;0;;;;;;;;
-31.9202465;0;-26.46270298;0;;;;;;;;
78.8139751;0;-11.66613386;0;;;;;;;;
58.82427965;0;-80.94446854;0;;;;;;;;
-34.64068089;0;4.593114367;0;;;;;;;;
-5.641051251;0;-89.02157176;0;;;;;;;;
-99.78867034;0;-36.7444624;0;;;;;;;;
25.61343777;0;80.22369939;0;;;;;;;;
-68.02227222;0;33.7925031;0;;;;;;;;
-22.26061244;0;-69.16238301;0;;;;;;;;
-38.20941092;0;-76.62986223;0;;;;;;;;
